partner_name,site_name,site_phone,web_addr,address
HDIT INTEGRATED SYSTEMS LIMITED,HDIT INTEGRATED SYSTEMS LTD,+2348100577197,https://www.hditsystemsltd.com,"33, SAJI AYANGADE STREET, ANTHONY VILLAGE, LAGOS, NIGERIA"
HEIRS TECHNOLOGIES LIMITED,HEIRS TECHNOLOGIES LIMITED,+23418889719,https://heirstechnologies.framer.website/,"1, MACGREGOR ROAD, LAGOS, NIGERIA"
HONEYWELL IDS,AUTOMATION AND CONTROL SOLUTIONS LTD,002349138850000,https://www.honeywell.com,"UNIT 334A AND 334B REGUS MULLINER TOWERS, 39 ALFRED REWANE ROAD, IKOYI,, LAGOS, NIGERIA"
HUTCHLAM SERVICES LTD,HUTCHLAM SERVICES,+2347063398744,https://www.hutchlamservices.com,"33, KOFO ABAYOMI STREET, VICTORIA ISLAND, LAGOS, NIGERIA"
IBM West Africa Limited,IBM West Africa Limited,0,https://www.ibm.com/,"Africa Re Building - 7th Floor, Plot 1679, Karimu Kotun Street, LAGOS, NIGERIA"
ICECUBE TECHNOLOGIES LTD,ICECUBE TECHNOLOGIES LTD,+2348036966079,https://www.icecubetech.com,"5 AGBOOLA AINA STREET, OFF TOYIN STREET, IKEJA, NIGERIA"
Incognito Algorithms Ltd,INCOGNITO ALGORITHMS LTD,+23414602496,,"28 EMINA CRESCENT OFF TOYIN STREET, LAGOS, NIGERIA"
Infinite Gold LTD,INFINITE GOLD LTD,+2349086803779,https://www.infinite-gold.com,"235, IGBOSERE RD LAGOS ISLAND, LAGOS, LAGOS, NIGERIA"
INFINITY GLOBAL TECHNOLOGY,INFINITY GLOBAL TECHNOLOGY,+2348126506619,https://www.infinityglobaltechng.com,"BLOCK 10, LENNOX MALL, 2&3 ADMIRALTY WAY, LEKKI PHASE 1, LAGOS, NIGERIA, LEKKI, NIGERIA"
INTELSOFT TECHNOLOGY PARTNERS LTD,INTELSOFT TECHNOLOGY PARTNERS LTD,+2348166202044,https://www.intelsoftgroup.com,"4 TAIWO ISHOLA STREET, LEKKI PHASE 1 LAGOS, 6B, ADENIYI JONES AVENUE, IKEJA LAGOS NIGERIA, LAGOS, NIGERIA"
Interswitch Limited,Interswitch Limited,+2341683888,,"1648c Oko-Awo Street, Victoria Island, Lagos, NIGERIA"
IT HORIZONS LTD,IT HORIZONS LTD,+2348189039359,,"9B AKIN OGUNMADE DAVIES CLOSE, GBAGADA PHASE 2, LAGOS, NIGERIA"
ITStack Limited,ITSTACK LTD,+2348035523708,https://itstacklimited.com,"7TH FLOOR, MULLINER TOWERS,, 39, ALFRED REWANE ROAD,, LAGOS, NIGERIA"
ITUNE INTERNATIONAL TECHNOLOGY,ITUNE INTERNATIONAL TECHNOLOGY,+2347063992117,https://www.ituneintl.com.ng,"MURTALA MUHAMMED HIGHWAY, SUITE 11, VENETIAN MALL, CALABAR, NIGERIA"
JEME TECHNOLOGIES NIGERIA LTD,JEME TECHNOLOGIES NIGERIA LTD,+2348023082762,https://jemetechnologies.com/,"1 LAKOTA STREET, WUSE ZONE 2, ABUJA, NIGERIA"
JETLINK LIMITED,JETLINK LTD,234808586357,https://www.jetlinkng.com,"PLOT 115 BLOCK 18 T.F. KUBOYE STREET, Lekki Peninsula Scheme 1, LEKKI, NIGERIA"
Jevi Austin International Company Limited,JEVI AUSTIN INT'L COMPANY LTD,+2348157137861,,"NO 9 MARKET ROAD RUMUOMASI, PORT HARCOURT, NIGERIA"
