partner_name,site_name,site_phone,web_addr,address
INTEGRA PROJECTS & FACILITY MANAGEMENT W.L.L,INTEGRA PROJECTS & FACILITY MANAGEMENT WLL,+97444437364,https://integraprojects.net/,"BLDG-152, 1ST FLOOR,, OFFICE#101, AL MUNTAZAH, DOHA, QATAR"
Thasaamah Technology,THASAAMAH TECHNOLOGY,+97444789683,https://www.thasaamahtechnology.com,"SALAT JADID, D RING ROAD,, BUILDING NO 390, STREET NO 250, DOHA, QATAR"
AL KAUN TELECOMS,AL KAUN TELECOMS,+97444428252,https://www.alkaun.com,"BUILDING NO. 119, STREET NO. 250, ZONE 45, D RING ROAD, OLD AIRPORT, DOHA, QATAR"
MANNAI TRADING COMPANY LTD W L L,MANNAI TRADING COMPANY LTD W L L, ,https://www.mannai.com,"P O BOX76, RAMADA JUNCTION, OPPOSIT JARIR BOOK STORE, DOHA  QATAR, QATAR"
Eshhar Security Services,ESHHAR SECURITY SERVICES,+97444442324,https://www.eshharholding.com,"AL MUNTAZA, DOHA, QATAR"
VISTAS INFRASTRUCTURE,VISTAS INFRASTRUCTURE,+97433109312,https://www.vistasinfra.com,"FLOOR-9, TOWER-3, GATE MALL, DOHA QATAR, GATE MALL, DOHA, QATAR"
ALM Data Systems,ALM Data Systems,+97444210929,https://alm-ict.com,"AL JASSIM TOWERS, AL SADD, DOHA, QATAR"
MALOMATIA QSC,MALOMATIA QSC,+97444992888,https://www.malomatia.com,"Manarat Lusail Tower, Zone 69, Street 318, Building 23, Floors 26th to 30th,, DOHA, QATAR"
BAYANAT AIRPORTS,Bayanat Engineering Qatar LLC,+97444273784,https://bing.com,"PO BOX 201740, DOHA, QATAR"
HAMAD AND MOHAMAD AL FUTTAIM COMPANY LLC,HAMAD AND MOHAMAD AL FUTTAIM COMPANY LLC,,https://afet.com,HAMAD AND MOHAMAD AL FUTTAIM COMPANY LLC qatar
Gulf Business Center,GULF BUSINESS CENTER,,https://bing.com,GULF BUSINESS CENTER qatar
MEKDAM TECHNOLOGY W.L.L,MEKDAM TECHNOLOGY W.L.L,,https://mekdamholding.com,MEKDAM TECHNOLOGY W.L.L qatar
TEKSALAH LLC,TEKSALAH QATAR,+97444457801,https://www.teksalah.com,"4TH FLOOR, TRANSWORLD TOWER 1, NEAR NATIONAL MUSEUM, STREET NO 930, BUILDING 4, ZONE 17, DOHA, QATAR"
BT UAE LTD DUBAI BRANCH,BT Global Services (North Gulf) LLC,08001693031,https://www.bt.com,"1413, 14TH FLOOR AL FARDAN OFFICE TOWER, DOHA , QATAR, DOHA, QATAR"
Data Plus Network Solutions,DATA PLUS NETWORK SOLUTIONS,+97444163256,https://www.dns.com.qa,"PO BOX 45143, DOHA, QATAR"
CEGELEC QATAR,CEGELEC QATAR,+97444310909,https://www.vinci-energies.com,"Markaz Almana Building 4th Floor (Office 402), Al Matar Street, DOHA, QATAR"
Meeza QSTP LLC,MEEZA,+97440040000,http://www.meeza.net/,"QATAR SCIENCE AND TECHNOLOGY PARK QSTP, TECH 2, OFFICE 106, QATAR, QATAR"
MAKSYS TECHNOLOGIES WLL,MAKSYS TECHNOLOGIES WLL,+97444515922,https://www.maksys.qa,"OFFICE NO 7, 2ND FLOOR, DOHA ADMIN TOWER, GRAND HAMAD STREET, DOHA, QATAR"
DYNAMIC SOLUTIONS,DYNAMIC SOLUTIONS,97317295603,https://www.dynamicssolutionsgroup.com,"AL ISTEQLAL ROAD, DOHA, QATAR"
Vodafone Qatar P.Q.S.C,VODAFONE QATAR QSC,+97477775112,https://www.vodafone.qa,"QATAR SCIENCE AND TECHNOLOGY PARK, AD DAWHAH, QATAR"
Ooredoo,Ooredoo,+97444400400,https://www.ooredoo.qa,"Ooredoo Tower,  West Bay, Next to Four Seasons Hotel, PO BOX 217, AD DAWHAH, QATAR"
QATAR DATAMATION SYSTEMS,QATAR DATAMATION SYSTEMS,+97444439900,https://www.qdsnet.com,"BUILDING NO 55, ZONE 39, STREET 343 AL DARWISH BUILDING, AL SADD STREET FLOOR NO 4 & M, DOHA, QATAR"
SYOOK TECHNOLOGY WLL,SYOOK TECHNOLOGY WLL,+97433045152,https://www.syook.com/,"OFFICE 902, TOWER A, FLOOR 9, TWIN TOWER LUSAIL, QATAR, LUSAIL, QATAR"
Fusion Integrated Solutions,Fusion Integrated Solutions,+97440120300,https://fusiongroupholding.com/,"6TH FLOOR, AMARA BUILDING #73, IBN MAHMOUD STREET #930, FAREEJ BIN MAHMOUD #22, DOHA, QATAR"
Primecast Technical Solutions,PRIMECAST TECHNICAL SOLUTIONS,+97444275552,https://www.primecastme.com,"2ND FLOOR, IBQ BUILDING, AL WAKRAH MAIN STREET, AL WAKRAH, QATAR"
ATOS ORIGIN,ATOS,+97444478183,https://www.atos.net,"ATOS QATAR LLC, QFIB BUILDING, AL SAAD AREA, ZONE 38, DOHA, QATAR"
Technology Solution Provider WLL,TECHNOLOGY SOLUTION PROVIDER WLL,+97444164376,https://www.tspqatar.com,"OFFICE NO- 7, FLOOR NO -3, STREET NO - 830, BUILDING NO - 16 , ZONE - 24, DOHA, QATAR"
SIEMENS INDUSTRIAL LLC,Siemens WLL,+97444560222,https://www.siemens.com,"Jaidah Square, Office #  501-504;, AL Matar Street., Doha, QATAR"
Techway Middle East FZE,TECHWAY IT SOLUTIONS QFZ LLC,+97430055926,https://www.techway.me,"RAS BUFONTAS FREEZONE, DOHA, QATAR"
GRAPPLE TECHNOLOGIES,GRAPPLE TECHNOLOGIES,+97440010944,https://www.grappletechnologies.com,"FAREEJ AL GHANEM, DOHA, QATAR"
Almoayed Data Group,Almoayed Data Group,17828828,https://www.almoayedict.com,"SAEED BIN BASHEER, DOHA, QATAR"
SECNEURAL LLC,SECNEURAL LLC,+97460048147,https://www.secneural.com/,"SPORT ACCELERATOR, OFFICE NO F-01, FIRST FLOOR, DOHA QATAR, DOHA, QATAR"
Regency Technology,REGENCY TECHNOLOGY,+97444344684,https://www.regencytechno.com,"SOHAIM BIN HAMAD STREET, REGENT GROUP BLDG, AD DAWHAH, QATAR"
AIGENZCOMMUNICATION & SERVICES,AIGENZCOMMUNICATION & SERVICES,+97444323933,https://www.ai-genz.com,"GOLD TOWER,A BLOCK,FLOOR-4,ZONE-26,STREET-882,BLDG-2, DOHA, QATAR"
Site Technology Ltd.,SITE TECHNOLOGY COMPANY QATAR,9744329990,https://www.site-technology.com,"TOURIST STREET, OLD SALATA AREA, AD DAWHAH, QATAR"
PRIMEEDGE INTERNATIONAL TRADING,PRIMEEDGE INTERNATIONAL TRADING,+97430616041,https://www.primeedgeinternational.com,"OFFICE NO- 2B-14A, FLOOR-2,ZONE-25,STREET-230, BUILDING NO-226, DOHA, QATAR"
FIBRE OPTIC SUPPLIES & SERVICES LLC,FIBRE OPTIC SUPPLIES & SERVICES,+97444683619,https://foss-dubai.com,"POBOX 32302, DOHA, QATAR"
LUSAIL HOSPITALITY AND SERVICES,LUSAIL HOSPITALITY AND SERVICES,+97466644552,,"DOHA, DOHA, QATAR"
Honeywell.ME,HONEYWELL,97122349323,https://honeywell.com,"AMWAL TOWER, DOHA, QATAR"
COMPUTER DATA NETWORKS W L L,EPORTAL COMPANY,4322713,https://www.cdn.com,"38 Al-Sadd, Al Faris Bldg, Doha, QATAR"
I A M IT Technologies LLC,I AM IT TECHNOLOGIES WLL,+97440016460,https://www.iamittechnologies.com,"OFFICE # 204, 2ND FLOOR ZONE # 24, STREET # 830, BUILDING # 4 AL HITEEN STREET, MUNTAZA AREA RAWDAT, DOHA, QATAR"
Consolidated Engineering Systems Co.,CONSOLIDATED ENGINEERING SYSTEMS COMPANY,+97444655581,https://www.cesco.com.qa,"DOHA, QATAR, DOHA, QATAR"
DLI Technology & Information Systems W.L.L,DLI TECHNOLOGY & INFORMATION SYSTEMS WLL,+97444513950,https://dliqatar.com,"OFFICE NO7, BUILDING NO39,, AIRPORT ROAD, STREET#902, AL ROUDHA, DOHA, QATAR"
HELP INFORMATION TECHNOLOGY CONSULTANCY LLC,HELP AG,+97444328067,https://www.helpag.com,"48TH FLOOR, DAFNA TOWER, DOHA, QATAR"
STARJAB TRADING AND SERVICES,STARJAB TRADING AND SERVICES,+97455345797,https://www.starjabit.com,"#3, ST850, BLD29, AREA 17, DOHA, QATAR"
SALAM TECHNOLOGY O P C,SALAM TECHNOLOGY,+97440206262,https://www.salamtechnology.com,"6TH FLOOR BAY TOWER 2 THE GATE MAYSALOUN STREET WEST BAY, DOHA, QATAR"
ONOTIO TEKNOLOJI LLC,ONOTIO TEKNOLOJI LLC,+97444101555,https://www.onotio.com,"AL FARDAN TOWERS, 8TH, 9TH & 14TH FLOORS, DOHA, QATAR"
SPECIALIZED & INTERACTIVE SYSTEMS,Specialized & Interactive Systems,+97444584281,https://sisuae.com,"AL-NASR STREET, BUILDING NO 88, LEVEL 1, OFFICE 4, DOHA, QATAR"
I.T Serve,IT-SERVE QATAR,5065078,https://www.it-serve.qa,"1ST FL,TGI BLDG, BEHIND SAFRIHOTEL NAJMA, PO BOX 32105, DOHA, DOHA  QA, DOHA, QATAR"
Precedence Technologies LLC,Qatar Branch,+97477033239,https://www.precedenceuae.com,"#104 Building 430, Retaj Commercial Building, Al Murra, DOHA, QATAR"
Intaleq Technology Consulting and Services,Intaleq Technology Consulting and Services,+97444137977,https://www.intaleq.qa,"PO BOX 358080, SPORTS ACCELERATOR BUILDING, QATAR BUSINESS DISTRICT DOHA QATAR, DOHA, QATAR"
INTEGRATED COMMUNICATIONS SYSTEMS COMPANY WLL,INTEGRATED COMMUNICATIONS SYSTEMS COMPANY WLL,+97440054005,http://www.icsystems.co,"203, 2ND FLOOR, BLOCK NO 20, SAYER AVENUE, BARWA COMMERCIAL BUILDING, AD DAWHAH, QATAR"
